,OBJECTID,FIELD1,name,Stop_Abbr,Stop_Name,Bus_Stop_Type,Route_S_,Jurisdiction,OBJECTID.1,id,longitude,latitude
121,122,127,102110,102110,WINDSOR ST SW @ EUGENIA ST SW,Sign on Post,49,Atlanta,,,-84.39838199999997,33.74306800000005
122,123,128,102112,102112,WINDSOR ST SW @ FULTON ST SW,Sign on Post,49,Atlanta,,,-84.39837999999997,33.741990000000044
123,124,129,102124,102124,AUBURN AVE NE @ PIEDMONT AVE NE,Sign Strapped to Pole,3,Atlanta,,,-84.38225499999999,33.75550700000008
124,125,131,102170,102170,DECATUR ST SE @ PIEDMONT AVE SE,Sign Strapped to Pole,26,Atlanta,,,-84.38566599999996,33.751540000000034
125,126,132,102172,102172,DECATUR ST SE @ BELL ST SE,Sign on Post,26,Atlanta,,,-84.38031599999994,33.74979700000006
126,127,133,102173,102173,DECATUR ST SE @ JESSE HILL JR DR SE,Shelter,26,Atlanta,,,-84.38428499999998,33.75060000000008
127,128,134,102174,102174,DECATUR ST SE @ PRATT ST SE,Sign on Post,26,Atlanta,,,-84.38291399999997,33.74989400000004
128,129,135,102178,102178,EDGEWOOD AVE SE @ COURTLAND ST SE,Sign Strapped to Pole,3,Atlanta,,,-84.38418999999999,33.75453900000008
129,130,136,102180,102180,EDGEWOOD AVE @ PEACHTREE CENTER AVE,Sign Strapped to Pole,3,Atlanta,,,-84.38616899999994,33.75451300000003
130,131,137,102222,102222,WINDSOR ST SW @ EUGENIA ST SW,Sign on Post,49,Atlanta,,,-84.39806399999998,33.74309800000003
131,132,138,102224,102224,WINDSOR ST SW @ FULTON ST SW,Sign on Post,49,Atlanta,,,-84.39811999999995,33.74169000000006
132,133,139,102226,102226,MARIETTA ST NW @ BROAD ST (FIVE POINTS STATION),Sign Strapped to Pole,26,Atlanta,,,-84.39065899999997,33.75499200000007
133,134,140,102228,102228,DECATUR ST @ KIMBALL WAY,Bench,26;813,Atlanta,,,-84.38858099999999,33.75359700000007
134,135,141,102252,102252,CAPITOL AVE SE @ POLLARD BLVD SW,Bench,55,Atlanta,,,-84.38769299999996,33.74272400000007
135,136,143,102282,102282,DECATUR ST SE @ COLLINS ST SE,Sign Strapped to Pole,26;813,Atlanta,,,-84.38660199999998,33.75228200000004
