,Unnamed: 0,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Unnamed: 12,Unnamed: 13,latitude_res,longitude_res,date,sign,shelter,trash,seating
1564,801,210863,PERIMETER CTR PL@PERIMETER CTR W,Sign on Post,33.927368,-84.341371,0.0,1.0,0.0,0.0,1,2022.0,0,0,33.92736800000006,-84.34137099999998,0,0.0,0.0,0.0,0.0
1588,826,211124,BILL KENNEDY WAY SE @ FAITH AVE SE,Shelter,33.74199,-84.358268,1.0,1.0,1.0,1.0,3,2025.0,0,0,33.741990000000044,-84.35826799999995,2025-01,0.0,0.896,0.831,0.766
1598,836,211325,MURPHY AVE SW @ ARDEN AVE SW,Sign on Post,33.717113,-84.424758,0.0,1.0,1.0,1.0,3,2025.0,0,0,33.71711300000004,-84.42475799999994,2025-02,0.0,0.0,0.859,0.907
1602,840,211340,VIRGINIA AVE @ NORMAN BERRY DR,Shelter,33.658976,-84.428375,1.0,1.0,1.0,0.0,2,2025.0,0,0,33.65897600000005,-84.42837499999996,2025-05,0.0,0.928,0.0,0.876
1631,871,211522,VIRGINIA AVE @ DELTA BLVD,Sign Strapped to Pole,33.658874,-84.423055,0.0,1.0,0.0,0.0,3,2025.0,0,0,33.658874000000026,-84.42305499999998,2025-03,0.0,0.498,0.0,0.603
1635,875,211531,SYLVAN RD SW @ DECKNER AVE SW,Sign on Post,33.713905,-84.41818,0.0,1.0,0.0,0.0,1,2014.0,0,0,33.71390500000007,-84.41817999999995,2025-02,0.0,0.0,0.0,0.716
1637,877,211560,MEMORIAL DR @ RAYS RD,Shelter,33.798759,-84.22031,1.0,1.0,1.0,1.0,1,2024.0,0,0,33.798759000000075,-84.22030999999998,2025-11,0.0,0.849,0.0,0.487
1646,886,211600,MEMORIAL DR @ 6130,Sign Strapped to Pole,33.80526,-84.188753,0.0,1.0,0.0,0.0,2,2025.0,0,0,33.80526000000003,-84.18875299999996,2025-12,0.0,0.662,0.0,0.0
1650,890,211631,BOULEVARD SE @ DECATUR ST SE,Sign on Post,33.751609,-84.371284,0.0,1.0,0.0,0.0,1,2022.0,0,0,33.75160900000003,-84.37128399999995,0,0.0,0.0,0.0,0.0
1651,891,211632,BOULEVARD SE @ DECATUR ST SE,Sign on Post,33.751761,-84.370838,0.0,1.0,0.0,0.0,1,2025.0,0,0,33.751761000000045,-84.37083799999994,0,0.0,0.0,0.0,0.0
