,name,Stop_Name,Bus_Stop_Type,latitude,longitude,val_shelter,val_sign,val_seating,val_trash,val_exist,val_year,Notes,
1464,902865,CHAMBLEE DUNWOODY RD @ NANDINA LN,Shelter,33.947692,-84.335512,1,1,1,1,2,2025,,
1469,902888,HAMMOND DR @ PEACHTREE DUNWOODY RD,Shelter,33.918695,-84.349954,1,,1,1,2,2024,,
1474,902941,GLENDALE RD @ HATTON DR,Sign on Post,33.787337,-84.254073,,1,,,2,2022,,
1478,902968,NORTH POINT PKWY @ NORTH POINT CT,Shelter,34.047978,-84.288581,1,1,1,1,2,2018,,
1480,902971,DUNWOODY VILLAGE PKY @ 1424,Sign on Post,33.949367,-84.33265,,1,,,2,2021,,
1484,902999,HAMMOND DR NE @ PEACHTREE DUNWOODY RD,Shelter,33.918901,-84.349888,1,1,1,1,2,2024,,
1487,903006,ASHFORD DUNWOODY RD@ASHWOOD PKWY,Shelter,33.933861,-84.33788,1,,1,1,2,2021,,
1488,903010,HAMMOND DR NE @ BARFIELD RD,Shelter,33.918943,-84.360434,,1,,1,2,2024,Perpendicular,
1490,903060,ROCKBRIDGE RD @ S INDIAN CREEK DR,Bench,33.786883,-84.232385,,1,1,1,2,2024,,
1497,903188,NORTH POINT PKWY @ 6360,Sign on Post,34.046674,-84.290519,,1,,,2,2021,,
1501,903192,HAYNES BRIDGE RD @ DEVORE RD,Sign on Post,34.066134,-84.293113,,,1,,2,2024,,
1502,903199,HAMMOND DR@GLENRIDGE DR,Bench,33.919057,-84.363941,,1,1,1,2,2019,,
1511,903283,RALPH MCGILL BLVD NE@PARK CENTRAL P,Sign on Post,33.764057,-84.378054,,1,,,2,2025,,
1513,903298,WESTWOOD AVE SW @ ONTARIO AVE SW,Sign on Post,33.738699,-84.439143,,1,,,2,2025,,
1514,903321,DONNELLY AVE SW @ CASCADE AVE SW,Bench,33.738032,-84.435153,,1,1,1,2,2024,,
1515,903322,WESTWOOD AVE SW @ WILLARD AVE SW,Sign on Post,33.738552,-84.437172,,1,,,2,2025,,
1516,903332,EDGEWOOD AVE @ PEACHTREE ST,Sign Strapped to Pole,33.754527,-84.389462,,1,,1,2,2025,,
1517,903334,MEMORIAL DR @ GEORGE LUTHER DR,Shelter,33.780595,-84.238234,1,1,1,1,2,2024,,
1520,903357,MEMORIAL DR @ N INDIAN CREEK DR,Shelter,33.78344,-84.236578,1,1,1,1,2,2025,,
1521,903358,MEMORIAL DR @ GEORGE LUTHER DR,Shelter,33.780327,-84.238746,1,1,1,1,2,2024,,
1525,903385,ROCKBRIDGE RD @ 3656,Sign on Post,33.782388,-84.24106,,1,,,2,2024,,
1530,903445,WESTWOOD AVE SW@ONTARIO AVE SW,Sign on Post,33.738555,-84.439174,,1,,,2,2022,,
1532,903459,JACKSON ST NE @ IRWIN ST NE,Sign on Post,33.757435,-84.374255,,1,,1,2,2025,,
1536,903463,BOULEVARD NE @ HIGHLAND AVE NE,Shelter,33.761696,-84.372073,1,1,1,,2,2025,,
1537,903475,E PONCE DE LEON AVE @ JAMES B RIVERS MEMORIAL DR,Sign on Post,33.811907,-84.171911,,1,,,2,2023,,
1540,903501,N DECATUR RD @ SHERMAN WAY,Sign on Post,33.790641,-84.301981,,1,,,2,2025,,
1547,903548,LENA ST @ MAYSON TURNER RD,Sign on Post,33.75658,-84.41673,,1,,,2,2025,,
1554,903584,N DECATUR RD @ 3711,Sign on Post,33.785746,-84.243188,,1,,,2,2024,,
1555,903585,N DECATUR RD @ NORTHERN AVE,Sign on Post,33.786723,-84.245775,,1,,,2,2024,Perpendicular,
1557,903588,N DECATUR RD @ KENTUCKY ST,Sign on Post,33.793808,-84.269379,,1,,,2,2024,,
1561,903609,N DECATUR RD @ DEKALB INDUSTRIAL WAY,Shelter,33.793757,-84.275451,1,,1,1,2,2023,,
1562,903612,DEKALB INDUSTRIAL WAY @ N DECATUR RD,Shelter,33.794455,-84.276614,1,1,1,1,2,2024,Captured by individual,
1570,903658,N DECATUR RD @ PARKDALE DR,Shelter,33.791259,-84.256288,1,,,,2,2012,,
1572,903677,ROCKBRIDGE RD@SUSAN CREEK DR,Sign on Post,33.785816,-84.226013,,1,,,2,2024,,
1578,903740,MEMORIAL DR @ MOUNTAIN VIEW DR,Sign on Post,33.805402,-84.187926,,1,,,2,2022,,
1582,903820,N INDIAN CREEK DR @ 449,Bench,33.788344,-84.235485,,1,1,1,2,2024,,
1591,903857,GLENDALE RD@BROWNELL AVE,Sign on Post,33.786568,-84.254911,,1,,,2,2022,,
1592,903888,GLENDALE RD@HATTON DR,Sign on Post,33.78714,-84.25416,,1,,1,2,2022,,
1593,903889,GLENDALE RD @ N DECATUR RD,Sign on Post,33.78944,-84.25263,,1,,,2,2023,,
1601,903958,CLAIREMONT AVE @ MAEDIRIS DR,Sign on Post,33.786907,-84.306618,,1,,,2,2024,Captured by individual,
1602,903959,CLAIREMONT AVE @ CLAIRMONT RUN,Sign on Post,33.788837,-84.307114,,1,,,2,2024,Captured by individual,
1608,904004,N INDIAN CREEK DR @ 752,Shelter,33.798018,-84.237047,1,1,1,1,2,2024,,
1612,904017,E PONCE DE LEON AVE @ TUGGLE DR,Sign on Post,33.812672,-84.174057,,1,,,2,2023,,
1614,904070,DEKALB INDUSTRIAL WAY @ N DECATUR RD,Shelter,33.7939,-84.276495,1,1,1,1,2,2023,,
1617,904091,N INDIAN CREEK DR @ JAMISON PL,Bench,33.802247,-84.238569,,1,1,1,2,2024,,
1622,904105,W MOUNTAIN ST @ RIDGE AVE,Sign on Post,33.808091,-84.172152,,1,,,2,2023,,
1626,904180,N DECATUR RD @ N INDIAN CREEK DR,Shelter,33.785697,-84.237946,1,1,1,1,2,2024,,
1631,904194,N DECATUR RD @ GIFFORD DR,Sign on Post,33.791949,-84.258278,,1,,,2,2024,,
1632,904195,N DECATUR RD @ GLENDALE RD,Sign on Post,33.789762,-84.252755,,1,,1,2,2023,,
